Block Height,Mining Pool,Timestamp,Found In (min),Block Reward (BTC),Fees (BTC),Total Input (BTC),Size (MB),Tx Count
890716,"F2Pool",2025-04-03T14:33:39.000Z,1,3.152,0.027,2357,1.77,2954
890715,"Luxor",2025-04-03T14:33:03.000Z,5,3.182,0.057,6228,1.61,3321
890714,"SpiderPool",2025-04-03T14:27:58.000Z,0,3.125,,,0.00,1
890713,"Luxor",2025-04-03T14:27:45.000Z,34,3.304,0.179,16169,1.61,3602
890712,"SpiderPool",2025-04-03T13:53:30.000Z,18,3.214,0.089,8126,1.65,3448
890711,"Foundry USA",2025-04-03T13:35:32.000Z,8,3.181,0.056,6578,1.66,3912
890710,"Antpool",2025-04-03T13:27:28.000Z,24,3.245,0.120,5449,1.68,3478
890709,"SpiderPool",2025-04-03T13:03:12.000Z,17,3.217,0.092,8552,1.76,3011
890708,"Foundry USA",2025-04-03T12:46:18.000Z,7,3.165,0.040,1623,1.59,3611
890707,"F2Pool",2025-04-03T12:39:09.000Z,2,3.146,0.021,1673,1.66,2254
890706,"MARA Pool",2025-04-03T12:36:45.000Z,7,3.161,0.036,3838,1.45,2049
890705,"Binance Pool",2025-04-03T12:30:15.000Z,16,3.213,0.088,4687,1.86,2990
890704,"SECPOOL",2025-04-03T12:14:12.000Z,11,3.186,0.061,1947,1.40,2127
890703,"Antpool",2025-04-03T12:03:42.000Z,21,3.270,0.145,5758,1.79,3799
890702,"Foundry USA",2025-04-03T11:42:15.000Z,5,3.190,0.065,1948,1.76,4317
890701,"Foundry USA",2025-04-03T11:36:57.000Z,5,3.170,0.045,1001,1.73,3310
890700,"Foundry USA",2025-04-03T11:32:14.000Z,3,3.157,0.032,1243,1.71,4077
890699,"Antpool",2025-04-03T11:28:54.000Z,10,3.212,0.087,2502,1.70,3372
890698,"Foundry USA",2025-04-03T11:18:51.000Z,4,3.162,0.037,1354,1.58,2200
890697,"SBI Crypto",2025-04-03T11:14:35.000Z,18,3.245,0.120,4096,1.67,3244
890696,"ViaBTC",2025-04-03T10:56:44.000Z,8,3.168,0.043,3295,1.70,3932
890695,"Antpool",2025-04-03T10:48:59.000Z,3,3.144,0.019,2352,1.22,3355
890694,"ViaBTC",2025-04-03T10:46:11.000Z,8,3.195,0.070,4220,1.51,2480
890693,"Antpool",2025-04-03T10:38:26.000Z,6,3.160,0.035,5774,1.58,2906
