Block Height,Mining Pool,Timestamp,Found In (min),Block Reward (BTC),Fees (BTC),Total Input (BTC),Size (MB),Tx Count
890284,"MARA Pool",2025-03-31T17:56:13.000Z,11,3.189,0.064,7652,1.65,3367
890283,"Foundry USA",2025-03-31T17:45:11.000Z,3,3.175,0.050,8634,1.77,3346
890282,"Foundry USA",2025-03-31T17:42:37.000Z,39,3.254,0.129,7420,1.55,2891
890281,"Foundry USA",2025-03-31T17:03:20.000Z,3,3.143,0.018,1009,1.33,1104
890280,"ViaBTC",2025-03-31T17:00:36.000Z,5,3.148,0.023,3394,1.60,1822
890279,"Foundry USA",2025-03-31T16:55:52.000Z,2,3.143,0.018,3219,1.32,1100
890278,"Antpool",2025-03-31T16:53:47.000Z,1,3.137,0.012,488,1.41,559
890277,"Foundry USA",2025-03-31T16:52:38.000Z,7,3.155,0.030,6908,1.79,2541
890276,"Foundry USA",2025-03-31T16:45:15.000Z,15,3.173,0.048,12607,1.57,3209
890275,"Antpool",2025-03-31T16:29:50.000Z,3,3.140,0.015,3223,1.50,2878
890274,"Antpool",2025-03-31T16:27:17.000Z,0,3.133,0.008,154,1.69,1213
890273,"Antpool",2025-03-31T16:27:06.000Z,1,3.137,0.012,341,2.12,763
890272,"ViaBTC",2025-03-31T16:26:06.000Z,9,3.152,0.027,7981,1.66,3964
890271,"Foundry USA",2025-03-31T16:17:19.000Z,4,3.146,0.021,7506,1.61,2246
890270,"Foundry USA",2025-03-31T16:13:15.000Z,8,3.161,0.036,6825,1.60,2814
890269,"SpiderPool",2025-03-31T16:05:27.000Z,3,3.150,0.025,6324,1.76,3382
890268,"F2Pool",2025-03-31T16:02:21.000Z,0,3.145,0.020,248,1.63,3355
890267,"MARA Pool",2025-03-31T16:02:11.000Z,8,3.174,0.049,6436,1.75,3371
890266,"Luxor",2025-03-31T15:54:32.000Z,15,3.182,0.057,8419,1.62,3460
890265,"Foundry USA",2025-03-31T15:39:47.000Z,15,3.185,0.060,8690,1.68,3193
890264,"F2Pool",2025-03-31T15:25:15.000Z,1,3.148,0.023,1004,1.41,1220
890263,"Foundry USA",2025-03-31T15:24:03.000Z,3,3.153,0.028,3108,2.01,922
890262,"Antpool",2025-03-31T15:21:12.000Z,10,3.176,0.051,9436,1.72,3109
890261,"Antpool",2025-03-31T15:11:01.000Z,8,3.162,0.037,11491,1.73,2004
890260,"Foundry USA",2025-03-31T15:03:23.000Z,7,3.176,0.051,5536,1.68,2667
890259,"Foundry USA",2025-03-31T14:56:33.000Z,10,3.346,0.221,4346,1.55,3249
890258,"Foundry USA",2025-03-31T14:46:34.000Z,5,3.170,0.045,6188,1.66,2586
890257,"SpiderPool",2025-03-31T14:41:10.000Z,20,3.202,0.077,12791,1.51,3355
890256,"ViaBTC",2025-03-31T14:20:45.000Z,1,3.162,0.037,6299,1.76,2744
890255,"MARA Pool",2025-03-31T14:19:27.000Z,32,3.204,0.079,11121,1.59,3822
890254,"Foundry USA",2025-03-31T13:47:13.000Z,0,3.133,0.008,211,1.49,1743
890253,"Antpool",2025-03-31T13:47:08.000Z,0,3.136,0.011,245,1.70,1099
890252,"MARA Pool",2025-03-31T13:46:43.000Z,6,3.153,0.028,2292,2.00,1732
890251,"F2Pool",2025-03-31T13:40:50.000Z,0,3.138,0.013,23854,2.05,1589
890250,"SECPOOL",2025-03-31T13:40:48.000Z,6,3.156,0.031,6202,1.71,2316
890249,"F2Pool",2025-03-31T13:34:37.000Z,4,3.156,0.031,1993,1.57,1837
890248,"Foundry USA",2025-03-31T13:31:06.000Z,1,3.158,0.033,1671,1.71,2868
890247,"Foundry USA",2025-03-31T13:29:48.000Z,6,3.181,0.056,4082,1.79,3243
890246,"ViaBTC",2025-03-31T13:23:54.000Z,35,3.212,0.087,9842,1.62,3218
890245,"Mining Squared",2025-03-31T12:48:48.000Z,18,3.180,0.055,7592,1.63,3021
890244,"Foundry USA",2025-03-31T12:31:14.000Z,0,3.145,0.020,2374,1.60,3198
890243,"ViaBTC",2025-03-31T12:31:06.000Z,4,3.156,0.031,4248,1.71,3356
890242,"Foundry USA",2025-03-31T12:26:41.000Z,7,3.168,0.043,3975,1.67,3137
890241,"F2Pool",2025-03-31T12:19:37.000Z,1,3.161,0.036,10270,1.71,2272
890240,"F2Pool",2025-03-31T12:18:30.000Z,5,3.175,0.050,5528,1.65,2756
890239,"Antpool",2025-03-31T12:13:52.000Z,54,3.287,0.162,14102,1.54,4049
890238,"ViaBTC",2025-03-31T11:19:51.000Z,47,3.206,0.081,5224,1.46,3280
890237,"Luxor",2025-03-31T10:32:56.000Z,24,3.172,0.047,4958,1.63,3716
890236,"ViaBTC",2025-03-31T10:08:54.000Z,21,3.174,0.049,6182,1.68,3142
890235,"MARA Pool",2025-03-31T09:48:13.000Z,3,3.156,0.031,210,3.86,237
890234,"Foundry USA",2025-03-31T09:45:13.000Z,16,3.186,0.061,3284,1.82,2803
890233,"Antpool",2025-03-31T09:29:38.000Z,3,3.141,0.016,701,1.90,1687
890232,"BTC.com",2025-03-31T09:26:50.000Z,21,3.189,0.064,6031,1.70,3064
890231,"Antpool",2025-03-31T09:05:43.000Z,15,3.169,0.044,6049,1.90,2669
890230,"Foundry USA",2025-03-31T08:51:11.000Z,1,3.136,0.011,275,0.23,495
890229,"F2Pool",2025-03-31T08:50:29.000Z,13,3.166,0.041,3655,1.57,2736
890228,"SpiderPool",2025-03-31T08:37:54.000Z,3,3.134,0.009,2367,0.49,672
890227,"Foundry USA",2025-03-31T08:34:55.000Z,1,3.126,0.001,62,0.11,288
890226,"ViaBTC",2025-03-31T08:34:17.000Z,8,3.145,0.020,2327,1.70,3229
890225,"Foundry USA",2025-03-31T08:26:38.000Z,16,3.161,0.036,4751,1.51,3132
890224,"SECPOOL",2025-03-31T08:10:38.000Z,6,3.139,0.014,4782,1.09,1799
890223,"Carbon Negative",2025-03-31T08:04:43.000Z,7,3.147,0.022,2725,1.17,2112
890222,"ViaBTC",2025-03-31T07:57:36.000Z,6,3.136,0.011,1446,0.93,1713
890221,"F2Pool",2025-03-31T07:51:19.000Z,4,3.141,0.016,10649,1.91,1729
890220,"F2Pool",2025-03-31T07:47:12.000Z,1,3.143,0.018,997,1.98,2405
890219,"Unknown",2025-03-31T07:45:59.000Z,21,3.176,0.051,4668,1.51,3330
890218,"Foundry USA",2025-03-31T07:25:20.000Z,12,3.160,0.035,4285,1.86,2911
890217,"F2Pool",2025-03-31T07:13:29.000Z,27,3.193,0.068,8142,1.64,3178
890216,"OCEAN",2025-03-31T06:46:51.000Z,4,3.125,0.000,4,0.02,16
890215,"Foundry USA",2025-03-31T06:42:31.000Z,2,3.129,0.004,300,0.35,643
890214,"ViaBTC",2025-03-31T06:40:30.000Z,6,3.139,0.014,4604,1.06,1254
890213,"Antpool",2025-03-31T06:34:47.000Z,2,3.129,0.004,315,0.58,513
890212,"ViaBTC",2025-03-31T06:32:32.000Z,5,3.135,0.010,9152,1.35,825
890211,"Luxor",2025-03-31T06:28:01.000Z,2,3.130,0.005,390,0.44,950
890210,"Foundry USA",2025-03-31T06:26:29.000Z,16,3.157,0.032,21504,1.75,2596
890209,"Foundry USA",2025-03-31T06:10:50.000Z,10,3.149,0.024,1839,1.41,1975
890208,"Foundry USA",2025-03-31T06:00:24.000Z,9,3.142,0.017,2237,1.50,1864
890207,"ViaBTC",2025-03-31T05:51:18.000Z,17,3.155,0.030,4747,1.98,2084
890206,"Antpool",2025-03-31T05:34:38.000Z,2,3.131,0.006,326,0.65,516
890205,"Foundry USA",2025-03-31T05:32:22.000Z,0,3.128,0.003,106,0.60,1180
890204,"Foundry USA",2025-03-31T05:32:01.000Z,15,3.151,0.026,3422,2.02,2068
890203,"Foundry USA",2025-03-31T05:16:49.000Z,1,3.128,0.003,193,0.16,274
890202,"Braiins Pool",2025-03-31T05:15:33.000Z,5,3.140,0.015,1859,1.76,2363
890201,"ViaBTC",2025-03-31T05:10:11.000Z,0,3.136,0.011,664,1.99,2259
890200,"Foundry USA",2025-03-31T05:09:48.000Z,25,3.164,0.039,5671,1.68,2579
890199,"ViaBTC",2025-03-31T04:45:18.000Z,13,3.155,0.030,2641,1.68,1679
890198,"Antpool",2025-03-31T04:31:53.000Z,10,3.155,0.030,1532,1.99,1639
890197,"Antpool",2025-03-31T04:22:04.000Z,21,3.177,0.052,23615,1.65,2694
890196,"Antpool",2025-03-31T04:01:04.000Z,24,3.182,0.057,6389,1.72,2506
890195,"Foundry USA",2025-03-31T03:37:09.000Z,13,3.166,0.041,3175,1.72,1706
890194,"Foundry USA",2025-03-31T03:24:15.000Z,9,3.147,0.022,17099,1.05,1374
890193,"F2Pool",2025-03-31T03:15:13.000Z,5,3.135,0.010,1524,0.56,882
890192,"Antpool",2025-03-31T03:09:46.000Z,6,3.137,0.012,4074,0.63,1092
890191,"SpiderPool",2025-03-31T03:03:21.000Z,5,3.137,0.012,1597,0.77,1165
890190,"Foundry USA",2025-03-31T02:58:02.000Z,5,3.141,0.016,1748,1.85,1965
890189,"Luxor",2025-03-31T02:53:18.000Z,31,3.165,0.040,5000,1.61,2797
890188,"Antpool",2025-03-31T02:22:41.000Z,13,3.148,0.023,2505,1.56,2106
890187,"Binance Pool",2025-03-31T02:09:54.000Z,1,3.127,0.002,2694,0.07,130
890186,"Antpool",2025-03-31T02:09:17.000Z,4,3.139,0.014,1429,1.85,1341
890185,"Antpool",2025-03-31T02:05:23.000Z,22,3.157,0.032,3211,1.61,2842
890184,"Antpool",2025-03-31T01:43:18.000Z,9,3.136,0.011,2130,0.80,1398
890183,"Unknown",2025-03-31T01:34:09.000Z,7,3.137,0.012,1275,1.13,1112
890182,"Foundry USA",2025-03-31T01:27:33.000Z,4,3.141,0.016,982,2.10,1133
890181,"MARA Pool",2025-03-31T01:23:15.000Z,3,3.139,0.014,869,2.24,2470
890180,"Foundry USA",2025-03-31T01:20:15.000Z,26,3.160,0.035,7247,1.65,2621
890179,"ViaBTC",2025-03-31T00:53:59.000Z,13,3.152,0.027,2827,1.87,2181
890178,"Antpool",2025-03-31T00:40:34.000Z,33,3.169,0.044,23085,1.76,3048
890177,"SpiderPool",2025-03-31T00:07:52.000Z,19,3.155,0.030,3610,1.85,2239
890176,"Binance Pool",2025-03-30T23:49:22.000Z,10,3.138,0.013,1978,1.03,1399
890175,"ViaBTC",2025-03-30T23:39:36.000Z,1,3.127,0.002,300,0.14,224
890174,"Binance Pool",2025-03-30T23:38:22.000Z,12,3.143,0.018,6411,1.35,1757
890173,"Luxor",2025-03-30T23:26:10.000Z,3,3.131,0.006,776,0.81,1349
890172,"Foundry USA",2025-03-30T23:23:09.000Z,24,3.154,0.029,4475,1.73,3061
890171,"Foundry USA",2025-03-30T22:59:03.000Z,7,3.134,0.009,1054,0.75,1018
890170,"Braiins Pool",2025-03-30T22:52:24.000Z,8,3.138,0.013,3857,0.70,1227
890169,"Poolin",2025-03-30T22:44:20.000Z,0,3.126,0.001,44,0.04,83
890168,"Antpool",2025-03-30T22:44:08.000Z,5,3.132,0.007,637,0.49,733
890167,"Foundry USA",2025-03-30T22:39:37.000Z,11,3.143,0.018,4697,0.91,1624
890166,"SECPOOL",2025-03-30T22:28:55.000Z,14,3.147,0.022,2103,1.22,2110
890165,"Foundry USA",2025-03-30T22:14:37.000Z,2,3.130,0.005,366,0.30,639
890164,"F2Pool",2025-03-30T22:12:29.000Z,9,3.138,0.013,4462,0.77,1533
890163,"Antpool",2025-03-30T22:03:39.000Z,2,3.130,0.005,417,0.46,1190
890162,"Foundry USA",2025-03-30T22:01:34.000Z,9,3.145,0.020,1425,1.73,5510
890161,"ViaBTC",2025-03-30T21:52:22.000Z,4,3.138,0.013,368,1.31,4800
890160,"Foundry USA",2025-03-30T21:48:27.000Z,5,3.140,0.015,1337,1.54,5364
890159,"Antpool",2025-03-30T21:43:18.000Z,6,3.140,0.015,1199,1.61,4970
890158,"Foundry USA",2025-03-30T21:36:49.000Z,0,3.125,0.000,17,0.00,18
890157,"Foundry USA",2025-03-30T21:36:38.000Z,8,3.140,0.015,4837,1.35,1925
890156,"ViaBTC",2025-03-30T21:28:54.000Z,5,3.136,0.011,451,1.05,2575
890155,"Binance Pool",2025-03-30T21:23:57.000Z,6,3.139,0.014,1595,1.18,2528
890154,"Foundry USA",2025-03-30T21:17:54.000Z,15,3.150,0.025,2986,1.49,2816
890153,"Foundry USA",2025-03-30T21:02:25.000Z,3,3.129,0.004,391,0.34,682
890152,"Antpool",2025-03-30T20:59:44.000Z,8,3.141,0.016,825,1.31,2454
890151,"MARA Pool",2025-03-30T20:51:51.000Z,14,3.154,0.029,6564,1.54,2534
890150,"F2Pool",2025-03-30T20:37:53.000Z,1,3.131,0.006,465,0.64,837
890149,"Foundry USA",2025-03-30T20:36:33.000Z,18,3.153,0.028,5270,1.62,3984
890148,"Foundry USA",2025-03-30T20:18:41.000Z,10,3.144,0.019,2594,1.45,3218
890147,"ViaBTC",2025-03-30T20:08:42.000Z,24,3.166,0.041,8632,1.63,3612
890146,"F2Pool",2025-03-30T19:44:30.000Z,2,3.129,0.004,755,0.21,522
890145,"Binance Pool",2025-03-30T19:42:45.000Z,6,3.138,0.013,908,0.90,1672
890144,"Antpool",2025-03-30T19:36:23.000Z,8,3.142,0.017,1852,1.26,1804
890143,"Foundry USA",2025-03-30T19:28:19.000Z,7,3.140,0.015,1328,1.35,2594
890142,"F2Pool",2025-03-30T19:21:25.000Z,0,3.133,0.008,88,1.35,2707
890141,"Foundry USA",2025-03-30T19:21:09.000Z,22,3.163,0.038,4220,1.59,3576
890140,"Luxor",2025-03-30T18:59:02.000Z,1,3.130,0.005,199,0.72,902
890139,"Foundry USA",2025-03-30T18:58:08.000Z,18,3.159,0.034,3020,1.60,3759
890138,"Luxor",2025-03-30T18:40:29.000Z,1,3.131,0.006,139,1.18,321
890137,"ViaBTC",2025-03-30T18:39:43.000Z,14,3.151,0.026,3156,1.64,2967
890136,"Binance Pool",2025-03-30T18:25:58.000Z,1,3.138,0.013,279,2.02,1691
890135,"ViaBTC",2025-03-30T18:24:36.000Z,12,3.158,0.033,3384,1.66,3929
890134,"OCEAN",2025-03-30T18:12:19.000Z,14,3.160,0.035,4792,1.63,3161
890133,"OCEAN",2025-03-30T17:58:16.000Z,38,3.179,0.054,8695,1.57,3695
890132,"Foundry USA",2025-03-30T17:20:15.000Z,4,3.142,0.017,692,1.91,1017
890131,"F2Pool",2025-03-30T17:15:56.000Z,0,3.135,0.010,12,2.14,258
890130,"Foundry USA",2025-03-30T17:15:48.000Z,8,3.147,0.022,2189,1.79,2428
890129,"Foundry USA",2025-03-30T17:08:09.000Z,1,3.137,0.012,367,1.98,1761
890128,"Antpool",2025-03-30T17:07:14.000Z,3,3.145,0.020,1179,1.67,2124
890127,"ViaBTC",2025-03-30T17:04:06.000Z,9,3.158,0.033,4717,1.60,2414
890126,"ViaBTC",2025-03-30T16:55:06.000Z,31,3.184,0.059,12637,1.52,3556
890125,"ViaBTC",2025-03-30T16:24:20.000Z,6,3.146,0.021,3416,1.84,1797
890124,"F2Pool",2025-03-30T16:17:58.000Z,6,3.144,0.019,1140,2.16,1390
890123,"ViaBTC",2025-03-30T16:11:52.000Z,7,3.145,0.020,4474,1.82,3080
890122,"Antpool",2025-03-30T16:04:56.000Z,1,3.137,0.012,202,1.51,1129
890121,"Foundry USA",2025-03-30T16:03:49.000Z,11,3.163,0.038,3425,1.63,2419
890120,"Foundry USA",2025-03-30T15:53:02.000Z,14,3.154,0.029,3474,1.73,2923
890119,"SpiderPool",2025-03-30T15:39:16.000Z,1,3.143,0.018,568,1.75,2816
890118,"Foundry USA",2025-03-30T15:38:43.000Z,23,3.175,0.050,8024,1.64,3671
890117,"Binance Pool",2025-03-30T15:15:59.000Z,15,3.162,0.037,4857,1.63,3406
890116,"Foundry USA",2025-03-30T15:01:08.000Z,9,3.168,0.043,1749,1.70,2864
890115,"Foundry USA",2025-03-30T14:52:35.000Z,38,3.189,0.064,9206,1.57,3300
890114,"Foundry USA",2025-03-30T14:14:22.000Z,1,3.146,0.021,1425,1.64,4474
890113,"MARA Pool",2025-03-30T14:12:56.000Z,26,3.175,0.050,4908,1.61,3642
890112,"Antpool",2025-03-30T13:47:17.000Z,37,3.179,0.054,4283,1.62,3359
890111,"Antpool",2025-03-30T13:10:42.000Z,7,3.159,0.034,6205,1.62,2400
890110,"ViaBTC",2025-03-30T13:03:25.000Z,47,3.188,0.063,16311,1.51,3347
890109,"ViaBTC",2025-03-30T12:16:19.000Z,25,3.162,0.037,4978,1.64,4152
890108,"Foundry USA",2025-03-30T11:51:48.000Z,12,3.148,0.023,4210,1.74,2746
890107,"Foundry USA",2025-03-30T11:39:28.000Z,8,3.142,0.017,1021,1.84,1550
890106,"Foundry USA",2025-03-30T11:31:23.000Z,11,3.148,0.023,2118,1.88,2004
890105,"Antpool",2025-03-30T11:20:37.000Z,21,3.157,0.032,6258,1.66,3172
890104,"ViaBTC",2025-03-30T10:59:37.000Z,6,3.142,0.017,4448,1.90,1243
890103,"SpiderPool",2025-03-30T10:53:38.000Z,0,3.125,,,0.00,1
890102,"Foundry USA",2025-03-30T10:53:15.000Z,7,3.142,0.017,793,1.97,1236
890101,"Foundry USA",2025-03-30T10:46:20.000Z,7,3.145,0.020,2191,1.69,1488
890100,"Antpool",2025-03-30T10:38:53.000Z,0,3.136,0.011,554,2.11,236
890099,"OCEAN",2025-03-30T10:38:45.000Z,15,3.151,0.026,2551,1.71,2103
890098,"F2Pool",2025-03-30T10:23:54.000Z,7,3.143,0.018,1141,1.87,1358
890097,"MARA Pool",2025-03-30T10:16:41.000Z,9,3.146,0.021,5341,1.77,1901
890096,"F2Pool",2025-03-30T10:07:15.000Z,25,3.172,0.047,3493,1.73,2990
890095,"Foundry USA",2025-03-30T09:42:45.000Z,18,3.153,0.028,2479,1.49,3755
890094,"F2Pool",2025-03-30T09:24:47.000Z,12,3.151,0.026,4014,1.79,1965
890093,"ViaBTC",2025-03-30T09:12:59.000Z,0,3.135,0.010,7,2.12,113
890092,"MARA Pool",2025-03-30T09:12:35.000Z,2,3.139,0.014,381,1.89,1348
890091,"MARA Pool",2025-03-30T09:10:42.000Z,22,3.171,0.046,3130,2.02,2857
890090,"ViaBTC",2025-03-30T08:48:26.000Z,5,3.147,0.022,1008,1.69,3001
890089,"Foundry USA",2025-03-30T08:43:35.000Z,22,3.165,0.040,6360,1.70,2731
890088,"Antpool",2025-03-30T08:21:50.000Z,33,3.173,0.048,4654,1.62,3425
890087,"F2Pool",2025-03-30T07:48:52.000Z,6,3.144,0.019,1930,1.99,1149
890086,"Foundry USA",2025-03-30T07:42:53.000Z,20,3.164,0.039,3235,1.55,3269
890085,"Foundry USA",2025-03-30T07:23:14.000Z,4,3.140,0.015,1021,1.90,723
890084,"F2Pool",2025-03-30T07:19:19.000Z,9,3.149,0.024,1469,1.79,2130
890083,"Antpool",2025-03-30T07:10:11.000Z,21,3.157,0.032,7315,1.59,3551
890082,"Luxor",2025-03-30T06:48:49.000Z,19,3.157,0.032,3328,1.42,2841
890081,"F2Pool",2025-03-30T06:29:30.000Z,5,3.143,0.018,854,2.04,1085
890080,"Foundry USA",2025-03-30T06:24:47.000Z,6,3.145,0.020,1392,1.90,980
890079,"Foundry USA",2025-03-30T06:18:50.000Z,13,3.152,0.027,1554,1.85,2091
890078,"ViaBTC",2025-03-30T06:06:06.000Z,13,3.153,0.028,1673,1.73,2314
890077,"Foundry USA",2025-03-30T05:53:30.000Z,23,3.158,0.033,4398,1.65,3497
890076,"Foundry USA",2025-03-30T05:30:56.000Z,11,3.147,0.022,1971,1.70,2360
890075,"Foundry USA",2025-03-30T05:20:04.000Z,14,3.152,0.027,2378,1.77,2260
890074,"MARA Pool",2025-03-30T05:06:19.000Z,14,3.152,0.027,8584,1.70,2911
890073,"F2Pool",2025-03-30T04:52:21.000Z,15,3.159,0.034,1799,1.53,1485
890072,"Foundry USA",2025-03-30T04:37:35.000Z,9,3.146,0.021,3975,1.84,1701
890071,"ViaBTC",2025-03-30T04:28:06.000Z,19,3.156,0.031,4384,1.66,2784
890070,"MARA Pool",2025-03-30T04:09:30.000Z,1,3.139,0.014,451,2.13,307
890069,"Binance Pool",2025-03-30T04:08:30.000Z,1,3.139,0.014,123,1.98,288
890068,"Antpool",2025-03-30T04:07:01.000Z,6,3.145,0.020,5508,1.90,1429
890067,"Foundry USA",2025-03-30T04:01:17.000Z,6,3.148,0.023,777,1.76,1453
890066,"ViaBTC",2025-03-30T03:55:46.000Z,2,3.140,0.015,257,2.04,975
890065,"Foundry USA",2025-03-30T03:53:47.000Z,9,3.152,0.027,3524,1.63,2391
890064,"Antpool",2025-03-30T03:44:28.000Z,1,3.137,0.012,200,1.95,528
890063,"ViaBTC",2025-03-30T03:43:20.000Z,6,3.152,0.027,1457,1.68,2868
890062,"F2Pool",2025-03-30T03:37:33.000Z,27,3.182,0.057,18691,1.45,2331
890061,"Foundry USA",2025-03-30T03:10:49.000Z,18,3.168,0.043,2565,1.69,2743
890060,"ViaBTC",2025-03-30T02:52:45.000Z,1,3.136,0.011,139,2.07,224
890059,"Foundry USA",2025-03-30T02:51:32.000Z,8,3.147,0.022,2891,1.86,1567
890058,"Antpool",2025-03-30T02:43:14.000Z,4,3.141,0.016,380,1.90,1453
890057,"Foundry USA",2025-03-30T02:39:00.000Z,5,3.142,0.017,735,1.79,1426
890056,"ViaBTC",2025-03-30T02:34:16.000Z,5,3.141,0.016,788,1.90,2599
890055,"Antpool",2025-03-30T02:29:34.000Z,14,3.147,0.022,1752,1.77,3598
890054,"ViaBTC",2025-03-30T02:15:36.000Z,14,3.148,0.023,4178,1.66,3186
890053,"Antpool",2025-03-30T02:01:10.000Z,12,3.145,0.020,3290,1.73,3840
890052,"OCEAN",2025-03-30T01:49:24.000Z,3,3.138,0.013,379,1.77,2310
890051,"MARA Pool",2025-03-30T01:45:56.000Z,6,3.139,0.014,718,1.84,3252
890050,"ViaBTC",2025-03-30T01:40:20.000Z,13,3.150,0.025,2127,1.71,4073
890049,"Luxor",2025-03-30T01:27:00.000Z,4,3.139,0.014,579,1.95,1725
890048,"Foundry USA",2025-03-30T01:23:03.000Z,20,3.179,0.054,2450,1.92,2672
890047,"Luxor",2025-03-30T01:02:39.000Z,12,3.149,0.024,4162,1.99,1979
890046,"MARA Pool",2025-03-30T00:51:05.000Z,0,3.135,0.010,3,2.17,229
890045,"Foundry USA",2025-03-30T00:50:59.000Z,0,3.137,0.012,61,2.15,298
890044,"Antpool",2025-03-30T00:50:38.000Z,14,3.151,0.026,2393,1.58,2186
890043,"Luxor",2025-03-30T00:36:55.000Z,3,3.140,0.015,463,1.91,2600
890042,"SpiderPool",2025-03-30T00:33:47.000Z,19,3.157,0.032,3273,1.67,3120
890041,"ViaBTC",2025-03-30T00:14:29.000Z,3,3.140,0.015,19563,1.96,2530
890040,"SpiderPool",2025-03-30T00:11:25.000Z,12,3.149,0.024,4159,1.66,3871
890039,"Foundry USA",2025-03-29T23:59:54.000Z,16,3.149,0.024,2157,1.76,2279
890038,"Antpool",2025-03-29T23:43:52.000Z,7,3.143,0.018,1317,1.91,2508
890037,"SECPOOL",2025-03-29T23:36:45.000Z,16,3.150,0.025,4977,1.76,2896
890036,"ViaBTC",2025-03-29T23:20:51.000Z,3,3.140,0.015,527,2.09,590
890035,"Foundry USA",2025-03-29T23:18:04.000Z,21,3.160,0.035,3919,1.66,3196
890034,"Antpool",2025-03-29T22:56:54.000Z,1,3.137,0.012,217,2.14,373
890033,"Antpool",2025-03-29T22:56:01.000Z,15,3.156,0.031,2922,1.63,2634
890032,"F2Pool",2025-03-29T22:40:47.000Z,20,3.162,0.037,8418,1.51,2817
890031,"ViaBTC",2025-03-29T22:20:38.000Z,0,3.135,0.010,25,2.16,170
890030,"Foundry USA",2025-03-29T22:20:17.000Z,11,3.146,0.021,2059,1.78,1902
890029,"MARA Pool",2025-03-29T22:09:09.000Z,6,3.144,0.019,781,1.97,1652
890028,"SpiderPool",2025-03-29T22:03:24.000Z,5,3.145,0.020,3542,1.69,1466
890027,"F2Pool",2025-03-29T21:58:14.000Z,5,3.151,0.026,2169,1.70,3704
890026,"F2Pool",2025-03-29T21:53:40.000Z,40,3.179,0.054,5212,1.54,3302
890025,"Binance Pool",2025-03-29T21:14:05.000Z,1,3.137,0.012,276,2.05,579
890024,"Antpool",2025-03-29T21:13:35.000Z,21,3.167,0.042,3943,1.68,3673
890023,"Foundry USA",2025-03-29T20:52:14.000Z,7,3.148,0.023,1135,1.87,1807
890022,"SpiderPool",2025-03-29T20:45:33.000Z,20,3.165,0.040,3737,1.38,2722
890021,"Antpool",2025-03-29T20:25:57.000Z,4,3.141,0.016,3354,2.01,904
890020,"ViaBTC",2025-03-29T20:21:40.000Z,2,3.138,0.013,262,2.10,489
890019,"F2Pool",2025-03-29T20:19:47.000Z,2,3.140,0.015,394,2.03,559
890018,"Antpool",2025-03-29T20:18:07.000Z,5,3.151,0.026,1265,1.66,3221
890017,"Foundry USA",2025-03-29T20:13:30.000Z,3,3.139,0.014,555,1.11,675
890016,"F2Pool",2025-03-29T20:10:11.000Z,6,3.145,0.020,1451,1.76,1302
890015,"Foundry USA",2025-03-29T20:04:02.000Z,6,3.147,0.022,4643,1.68,1503
890014,"SECPOOL",2025-03-29T19:57:57.000Z,1,3.136,0.011,123,1.26,286
890013,"Foundry USA",2025-03-29T19:56:46.000Z,12,3.154,0.029,3064,1.42,2473
890012,"SpiderPool",2025-03-29T19:44:47.000Z,4,3.139,0.014,439,1.17,559
890011,"ViaBTC",2025-03-29T19:40:23.000Z,14,3.157,0.032,2753,1.50,2895
890010,"Antpool",2025-03-29T19:25:56.000Z,1,3.136,0.011,111,1.27,172
890009,"Unknown",2025-03-29T19:25:09.000Z,4,3.143,0.018,920,1.21,1234
890008,"Foundry USA",2025-03-29T19:20:49.000Z,2,3.143,0.018,854,1.43,1119
890007,"Antpool",2025-03-29T19:18:26.000Z,3,3.152,0.027,4609,1.69,2723
890006,"BTC.com",2025-03-29T19:15:10.000Z,1,3.155,0.030,2647,1.57,3374
890005,"ViaBTC",2025-03-29T19:13:47.000Z,29,3.187,0.062,6464,1.56,3472
890004,"Foundry USA",2025-03-29T18:45:10.000Z,39,3.191,0.066,8141,1.48,3508
890003,"Foundry USA",2025-03-29T18:05:59.000Z,13,3.159,0.034,,1.60,3029
890002,"Antpool",2025-03-29T17:52:57.000Z,11,3.152,0.027,,1.47,2655
890001,"F2Pool",2025-03-29T17:41:33.000Z,13,3.157,0.032,,1.59,2813
890000,"Luxor",2025-03-29T17:29:01.000Z,13,3.172,0.047,,1.61,2843
889999,"ViaBTC",2025-03-29T17:15:44.000Z,1,3.139,0.014,,1.18,406
889998,"Luxor",2025-03-29T17:14:57.000Z,17,3.165,0.040,,1.61,3418
889997,"ViaBTC",2025-03-29T16:57:58.000Z,0,3.136,0.011,,1.86,86
889996,"ViaBTC",2025-03-29T16:57:36.000Z,7,3.148,0.023,,1.76,1842
889995,"Foundry USA",2025-03-29T16:50:19.000Z,5,3.147,0.022,,1.79,1437
889994,"Foundry USA",2025-03-29T16:45:08.000Z,3,3.145,0.020,,1.80,2434
889993,"SECPOOL",2025-03-29T16:42:06.000Z,0,3.125,,,0.00,1
889992,"F2Pool",2025-03-29T16:41:47.000Z,2,3.149,0.024,,1.66,2755
889991,"Antpool",2025-03-29T16:39:29.000Z,4,3.158,0.033,,1.62,3590
889990,"Foundry USA",2025-03-29T16:35:37.000Z,11,3.170,0.045,,1.68,3174
889989,"Foundry USA",2025-03-29T16:24:39.000Z,18,3.185,0.060,,1.57,3675
889988,"Foundry USA",2025-03-29T16:06:57.000Z,51,3.438,0.313,,1.56,3345
